,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group
1223,1,20.50666667,217.8563693,1557.040533,80.210984,1.009743173,14.30666667,202.4338267,1835.2752,89.05329067,10.9467072,0.98290164,0.592342361,476.7728021,378.8546581,9.3640678,68.15016106,187.6556855,6.852362617,0.102944713,7.164049386,38.76072319,183.4024525,3.151152107,3.151153898,0.082248275,0.097719158,132.4806613,80.09047269,75,cell,NADH,FAD,CD4 Spleen FOV3
1224,3,17.08823529,284.4599412,2025.296471,82.51442353,0.975560971,10.26470588,168.1646471,1457.835588,85.7025,14.29750059,1.064353206,0.610831697,576.8605726,347.6910935,8.008963339,90.39034439,406.003548,4.67395042,0.106904839,4.143697833,39.49584027,185.9871332,3.540447283,3.540446545,0.09544524,0.127229417,101.962778,61.33694854,34,cell,NADH,FAD,CD4 Spleen FOV3
1225,4,14.31578947,147.3007719,1343.465789,88.99532807,0.991761404,8.842105263,224.125386,2281.254737,90.20841579,9.791582632,0.942395526,0.634542077,279.1851077,408.535219,7.445415403,121.410668,335.8013688,4.422168546,0.09471313,6.363370271,39.38469279,503.9792336,4.348594189,4.348595926,0.101270013,0.116421527,180.7393153,55.63475353,57,cell,NADH,FAD,CD4 Spleen FOV3
1226,6,18,297.0020556,1935.499722,82.61105,0.853198333,10.94444444,305.7286667,2041.968611,82.37928333,17.62071667,0.915194,0.615227595,573.5114793,603.4240418,8.280786712,126.0512282,379.0106278,4.547483092,0.077192421,4.222013362,62.17087111,314.7452554,4.517488295,4.517488295,0.066593673,0.094990905,153.8566179,65.16027318,36,cell,NADH,FAD,CD4 Spleen FOV3
1227,7,12.4,119.49954,1607.001286,93.77237429,1.070199057,7.085714286,189.1239943,2180.7574,92.61227143,7.387726286,1.148057971,0.627597295,217.978496,333.1639681,4.882140321,63.4600597,337.5356358,3.306373191,0.096867453,2.693908472,58.88084386,595.8260583,2.333102819,2.333109139,0.110425133,0.109927532,130.0244115,99.34426765,35,cell,NADH,FAD,CD4 Spleen FOV3
1228,9,12.73913043,240.1642609,1856.556522,83.95206087,0.974237174,10.69565217,206.5832174,1642.292609,92.45396957,7.546034348,1.121287087,0.545528238,488.0478266,314.6861647,3.968253466,80.34498144,349.1720621,5.65219181,0.101722332,3.889785956,24.96798067,167.9127398,1.240070104,1.2400637,0.171970294,0.087656986,111.4569238,42.05733338,23,cell,NADH,FAD,CD4 Spleen FOV3
1229,10,18.53571429,270.1216786,2057.663839,85.29206875,0.982722946,11.60714286,210.669,1896.877857,91.05392054,8.94608,1.110515616,0.622163543,527.5647633,360.2789815,7.440973214,93.29961605,405.1534588,4.017085992,0.104493671,6.756187878,46.56798889,395.9148074,2.766402039,2.766401645,0.107091643,0.098233598,145.9301942,87.88054465,112,cell,NADH,FAD,CD4 Spleen FOV3
1230,12,13.9787234,172.3375936,1492.16683,88.65835106,1.021127532,6.893617021,159.8491596,1453.729043,89.0426383,10.95736404,0.986574851,0.660875942,319.530758,295.4957445,8.168043142,97.39628579,368.4487105,6.347580729,0.146770317,3.896676636,54.54859338,291.1341845,6.470945219,6.470942722,0.132185815,0.107491351,179.7273065,116.5396171,47,cell,NADH,FAD,CD4 Spleen FOV3
1231,13,8,237.19225,1485.4375,80.70345,1.04029025,3.25,209.8455,1719.63,80.1737,19.8263,0.72011125,0.704040404,474.4861277,509.3828693,2.449489743,69.5217275,246.0400602,3.616910664,0.086265536,0.957427108,21.5579807,46.90878738,1.209236241,1.209236241,0.064249917,0.104329304,88.8170758,16.17212395,4,cell,NADH,FAD,CD4 Spleen FOV3
1232,16,22,473.6665,3126.817857,84.37306429,1.0794225,11.71428571,245.8115714,2499.49,88.00276429,11.99723429,1.020568,0.64349868,838.1280912,506.4034311,6.656402355,95.82093611,891.1996613,8.23035492,0.071580223,3.473605341,41.09420455,589.0473328,2.032704492,2.032708764,0.054630773,0.100036931,46.70108933,56.36266791,14,cell,NADH,FAD,CD4 Spleen FOV3
1233,18,19,547.72425,2977.4,86.8644,0.92053025,7,182.0235,1408.075,79.58245,20.41755,1.19538,0.739215686,868.2887061,430.758161,9.865765725,40.89318657,126.5792,1.587763015,0.047076569,5.477225575,52.03151398,168.5153456,2.650699938,2.650699938,0.066234016,0.084321325,29.02973055,59.03640856,4,cell,NADH,FAD,CD4 Spleen FOV3
1234,19,11.24528302,112.6551491,1768.433962,95.05995849,0.998132245,5.509433962,102.774766,1039.930075,89.89266604,10.10732981,0.991847755,0.673872635,192.1461611,189.9119396,4.228591602,17.05521011,290.5559787,1.711723265,0.097138811,2.893112787,27.65172269,336.0771214,3.321452754,3.321449572,0.133280431,0.119849525,35.88715613,38.36477951,53,cell,NADH,FAD,CD4 Spleen FOV3
1235,21,15.8,201.3096,1907.474,88.65170833,0.981403317,8.35,229.5597667,1771.241167,86.40707167,13.5929285,0.921965317,0.66395693,395.7253009,428.4944209,7.633112522,50.07788352,373.9253312,3.99204548,0.101366829,5.559615278,37.97561645,352.4817865,4.074902421,4.074902563,0.091160713,0.134438597,113.0497973,65.31298684,60,cell,NADH,FAD,CD4 Spleen FOV3
1236,22,12.83333333,271.9098333,1812.71,78.96718333,0.844024667,8.833333333,175.8998333,1666.495,88.96888333,11.03112,1.0012365,0.579821456,592.7044994,338.6159557,6.306081721,55.17236311,113.5626851,3.507472299,0.126054423,4.578937286,24.19860847,185.4739514,1.708229555,1.708226537,0.065154909,0.134166131,86.29103324,33.8256371,6,cell,NADH,FAD,CD4 Spleen FOV3
1237,24,19.27559055,194.0883417,1716.885512,84.81736142,0.964192969,15.57480315,162.7995748,1468.364898,91.24660157,8.753396063,1.040887598,0.554480174,424.9258765,268.1893057,9.579804456,61.26742404,273.1051375,4.165514777,0.094274886,8.379415145,26.98515883,335.3551489,3.372016974,3.372017465,0.118989458,0.104308627,119.2601376,37.53077628,127,cell,NADH,FAD,CD4 Spleen FOV3
1238,25,14.11111111,254.9735,1723.471722,85.32965556,1.245821667,14.44444444,198.1012778,1818.831111,89.64248611,10.35751389,1.169587611,0.514966366,461.26297,357.6764122,4.200529067,66.0649644,511.5103526,3.454801955,0.132287058,7.613688591,28.56893222,399.6285357,2.721251018,2.721250191,0.128613971,0.105559983,106.1340364,48.41735089,36,cell,NADH,FAD,CD4 Spleen FOV3
1239,27,11.15384615,95.39898077,1310.483923,93.65990769,1.20836,6.269230769,169.3440385,1720.888462,91.36899615,8.630998077,1.242408885,0.634469716,177.505504,294.733918,4.920912986,37.4831319,449.5255291,2.097404857,0.0984373,3.040495911,38.94891947,392.8561505,2.798187302,2.798190312,0.215612646,0.14448722,83.88443801,50.13582675,26,cell,NADH,FAD,CD4 Spleen FOV3
1240,28,17.31468531,287.8980545,2211.684455,84.5545007,1.030949147,9.594405594,291.6883147,2161.313636,87.18222448,12.81777566,1.035732336,0.646085725,572.9300348,516.0037682,7.761787565,125.9691845,604.3621046,7.091318917,0.113735545,4.781475054,101.3288488,563.4974164,4.238086395,4.238086852,0.104028894,0.094747893,227.7562167,117.8779245,143,cell,NADH,FAD,CD4 Spleen FOV3
1241,30,15,187.56175,2024.295,87.054125,1.15636,13.5,259.11825,2575.9575,94.520975,5.479015,1.1602325,0.527549059,425.0725417,383.4349847,2.581988897,12.6962823,37.05200444,1.379448693,0.052950845,2.886751346,19.64366557,415.5003328,0.9046032,0.904599811,0.054396946,0.085554313,20.41601227,21.53326346,4,cell,NADH,FAD,CD4 Spleen FOV3
1242,31,17.25,353.111875,2422.53,80.4052625,0.941132375,10.375,249.127625,2066.2175,88.8405375,11.1594625,1.0474805,0.623381341,753.491028,444.3903505,6.649382356,87.54739612,310.9258425,3.196887516,0.051327968,4.50198369,35.63488221,329.4611461,3.294225793,3.294225026,0.104998845,0.096436104,89.52398071,59.93988832,8,cell,NADH,FAD,CD4 Spleen FOV3
1243,34,16.44444444,383.0335,2217.065,81.65642778,1.145935222,9.277777778,135.9873,1530.277222,83.28571111,16.71428889,1.033579944,0.644053085,706.9997216,364.7051122,5.403944335,61.4831353,445.980504,3.844217341,0.129157335,3.892761844,53.60286924,199.5499741,4.08426182,4.08426182,0.08040179,0.08465578,75.51890102,69.95211597,18,cell,NADH,FAD,CD4 Spleen FOV3
1244,37,21,76.4534,1262,85.8424,0.964074,5,222.873,1604.95,85.7683,14.2317,0.947314,0.807692308,244.2983454,419.5660524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,cell,NADH,FAD,CD4 Spleen FOV3
1245,39,12.6875,151.9718125,1635.35125,87.9506125,1.060882313,7.375,164.383875,1720.07875,92.88343125,7.116575,1.085413125,0.625525293,330.4877317,274.1260474,3.553753884,23.20685227,197.5031217,2.336874822,0.072032634,2.125245084,44.81856117,332.7571297,1.291957176,1.291953073,0.085638759,0.118978362,60.00640507,69.99307545,16,cell,NADH,FAD,CD4 Spleen FOV3
1246,40,15.25862069,111.1706241,1576.294483,86.82729138,1.052468017,10.63793103,178.4668103,1482.146552,89.03034655,10.96964983,0.94435019,0.585600804,296.4171205,318.8453305,6.222653422,28.09602906,218.7429705,5.591514697,0.135012601,4.1788871,29.52779161,183.8819837,2.687307134,2.687309816,0.096673781,0.104981212,92.67000779,55.69263094,58,cell,NADH,FAD,CD4 Spleen FOV3
1247,42,13.86956522,261.1556261,2205.004783,82.6380913,0.96573513,8.608695652,189.4820435,2265.10913,93.48037826,6.51962913,1.103705957,0.608152334,596.5280295,323.9014103,4.515673189,110.3767265,349.8975776,4.513593026,0.108545587,2.641265716,49.44169291,341.329775,1.132148058,1.132146313,0.118900026,0.110436504,179.3307538,69.73955256,23,cell,NADH,FAD,CD4 Spleen FOV3
1248,45,15.85714286,205.4546429,1535.026429,81.50185714,1.135498571,9.642857143,211.2570714,1757.500714,85.98317143,14.01682929,1.083262429,0.623030324,441.554374,410.9769995,5.82906699,65.34889347,184.2356218,9.128143349,0.102838287,4.516757565,33.20135817,496.8078716,3.926857788,3.926857246,0.097256538,0.105360688,148.7845151,38.80120228,14,cell,NADH,FAD,CD4 Spleen FOV3
1249,46,17.85057471,270.2534322,2135.90692,88.85781954,0.983321701,9.528735632,212.2174943,1827.982011,87.89771609,12.10228184,1.058988816,0.655272005,480.8277182,396.4893547,11.14234406,206.178293,634.0880508,5.863846095,0.090532816,6.320581149,65.61555753,470.5952242,3.961261763,3.961263451,0.119580315,0.100836591,317.0513963,106.8357074,87,cell,NADH,FAD,CD4 Spleen FOV3
1250,48,19.19298246,367.0188947,2123.314123,85.71590614,0.989849982,10.42982456,287.1322702,1895.326491,87.00077719,12.99922342,0.989116333,0.643441883,615.6252946,487.0382449,8.704466551,188.7469722,453.5494074,4.798939165,0.092814955,4.741026546,111.7617899,516.5956678,3.606015429,3.606015112,0.10694541,0.097225589,246.177334,144.3895696,114,cell,NADH,FAD,CD4 Spleen FOV3
1251,49,11.66666667,153.8163333,1332.045,81.54755,1.083499167,11.5,125.347,1261.441667,84.04198333,15.95801667,1.059693333,0.536238369,370.4628647,301.4779029,1.751190072,54.97497464,197.5205579,1.484752339,0.058712901,6.024948133,6.58399116,198.2200875,3.387852319,3.387852319,0.07161112,0.175578929,76.97217687,19.26130352,6,cell,NADH,FAD,CD4 Spleen FOV3
1252,51,16.6,325.2900036,1963.042497,82.51087795,1.039675559,9.082051282,269.6511103,1828.711928,85.11058615,14.88941338,1.064246918,0.645633051,606.8606119,491.4858152,7.295246299,193.0611434,610.9543375,7.783399544,0.117067248,4.29137662,104.6760351,375.1835362,5.400060067,5.400060958,0.118936662,0.099293494,283.4900067,144.4789876,195,cell,NADH,FAD,CD4 Spleen FOV3
1253,52,12.85714286,249.8837143,1857.123333,84.49768571,1.095231333,9.619047619,162.6844286,1642.971905,89.06721905,10.93278476,0.906421333,0.577392958,484.6789314,320.0621534,6.444266555,122.3541746,570.9966486,3.919595669,0.093659681,4.716738179,22.61860069,224.9124874,2.899224118,2.899220543,0.080603194,0.13324314,150.6913809,42.55854522,21,cell,NADH,FAD,CD4 Spleen FOV3
1254,54,11.56666667,138.4636967,1487.708433,92.48938333,0.9663551,7.166666667,180.1602,1604.163433,88.83767333,11.16232133,1.107325433,0.619657102,248.6087639,328.1167664,4.207409993,82.82763804,405.2242784,4.224146609,0.121062041,3.238596262,57.95523969,346.0692284,5.894293827,5.894296654,0.15471117,0.098962863,169.5078414,106.978605,30,cell,NADH,FAD,CD4 Spleen FOV3
1255,55,19.84210526,431.9433825,2201.204912,78.70244386,0.955136965,10.4122807,381.6288684,2129.031667,81.90295702,18.09704263,1.043920307,0.651993411,798.2341712,680.5614208,11.17327639,169.4764259,447.0858142,5.62499272,0.115109625,5.874515839,72.46370826,424.7110688,5.457496873,5.457497506,0.103034976,0.099226652,213.8875404,71.77879258,114,cell,NADH,FAD,CD4 Spleen FOV3
1256,57,17.2173913,407.465087,2257.22913,82.32211739,1.011735913,9.391304348,310.6678261,1729.710261,83.85306957,16.14693,0.935182,0.647028951,720.8735125,531.1625104,4.680292549,109.3799759,619.5218157,3.587483382,0.147853022,3.299299243,112.4663316,332.8248575,4.943712017,4.943712749,0.142407528,0.092466676,151.1540594,155.5176398,23,cell,NADH,FAD,CD4 Spleen FOV3
